,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH,active
3874,2014-033S,FLOCK 1C 7,40026,US,96.61,97.93,604.0,588.0,2014-06-19,1
3875,2014-033R,QB50P1,40025,BEL,96.71,97.9,610.0,592.0,2014-06-19,1
3876,2014-033Q,NANOSAT C BR1,40024,BRAZ,96.65,97.91,607.0,589.0,2014-06-19,0
3877,2014-033P,FLOCK 1C 10,40023,US,96.66,97.92,608.0,589.0,2014-06-19,1
3878,2014-033N,PACE,40022,ROC,96.73,97.91,612.0,592.0,2014-06-19,0
3879,2014-033M,DUCHIFAT 1,40021,ISRA,96.6,97.92,605.0,586.0,2014-06-19,1
3880,2014-033L,BRITE TORONTO,40020,CA,98.19,97.74,734.0,610.0,2014-06-19,1
3881,2014-033K,APRIZESAT 10,40019,US,98.16,97.73,731.0,610.0,2014-06-19,1
3882,2014-033J,APRIZESAT 9,40018,US,97.96,97.73,713.0,610.0,2014-06-19,1
3883,2014-033H,TABLETSAT AURORA,40017,CIS,96.42,97.99,604.0,570.0,2014-06-19,1
3884,2014-033G,SAUDISAT 4,40016,SAUD,97.61,97.74,679.0,609.0,2014-06-19,1
3885,2014-033F,HODOYOSHI 3,40015,JPN,97.39,97.77,661.0,607.0,2014-06-19,1
3886,2014-033E,BUGSAT 1,40014,ARGN,96.3,98.03,604.0,559.0,2014-06-19,1
3887,2014-033D,DEIMOS 2,40013,SPN,97.0,97.83,617.0,613.0,2014-06-19,1
3888,2014-033C,UNISAT 6,40012,IT,97.69,97.74,690.0,606.0,2014-06-19,0
3889,2014-033B,HODOYOSHI 4,40011,JPN,97.22,97.8,645.0,606.0,2014-06-19,1
3890,2014-033A,KAZEOSAT 2,40010,KAZ,97.16,97.82,635.0,611.0,2014-06-19,1
3891,2014-032B,FREGAT R/B,40002,CIS,688.47,65.67,19661.0,19237.0,2014-06-14,0
3892,2014-032A,COSMOS 2500 (GLONASS),40001,CIS,675.73,65.62,19150.0,19110.0,2014-06-14,1
3893,2004-042D,FENGYUN 2C DEB,40000,PRC,1435.94,9.99,36136.0,35431.0,2004-10-19,0
